sample,GT_change_pixels,GT_change_ratio_percent,available_method_count,best_method_by_F1,primary_method,primary_F1_percent,primary_IoU_percent,primary_Kappa_percent,primary_Error_pixels,primary_rank_by_F1,primary_margin_to_best_F1,primary_margin_to_second_F1,primary_mean_F1_advantage,primary_wins_all_available,recommendation_score,selection_reason,AEGIS-CD_F1_percent,AEGIS-CD_IoU_percent,AEGIS-CD_OA_percent,AEGIS-CD_Kappa_percent,AEGIS-CD_Precision_percent,AEGIS-CD_Recall_percent,AEGIS-CD_Error_pixels,AEGIS-CD_FP,AEGIS-CD_FN,AEGIS-CD_Pred_change_ratio_percent,RS-Mamba_F1_percent,RS-Mamba_IoU_percent,RS-Mamba_OA_percent,RS-Mamba_Kappa_percent,RS-Mamba_Precision_percent,RS-Mamba_Recall_percent,RS-Mamba_Error_pixels,RS-Mamba_FP,RS-Mamba_FN,RS-Mamba_Pred_change_ratio_percent,CDMamba_F1_percent,CDMamba_IoU_percent,CDMamba_OA_percent,CDMamba_Kappa_percent,CDMamba_Precision_percent,CDMamba_Recall_percent,CDMamba_Error_pixels,CDMamba_FP,CDMamba_FN,CDMamba_Pred_change_ratio_percent,ChangeMamba-tiny_F1_percent,ChangeMamba-tiny_IoU_percent,ChangeMamba-tiny_OA_percent,ChangeMamba-tiny_Kappa_percent,ChangeMamba-tiny_Precision_percent,ChangeMamba-tiny_Recall_percent,ChangeMamba-tiny_Error_pixels,ChangeMamba-tiny_FP,ChangeMamba-tiny_FN,ChangeMamba-tiny_Pred_change_ratio_percent,DSIFN_F1_percent,DSIFN_IoU_percent,DSIFN_OA_percent,DSIFN_Kappa_percent,DSIFN_Precision_percent,DSIFN_Recall_percent,DSIFN_Error_pixels,DSIFN_FP,DSIFN_FN,DSIFN_Pred_change_ratio_percent,SNUNet_F1_percent,SNUNet_IoU_percent,SNUNet_OA_percent,SNUNet_Kappa_percent,SNUNet_Precision_percent,SNUNet_Recall_percent,SNUNet_Error_pixels,SNUNet_FP,SNUNet_FN,SNUNet_Pred_change_ratio_percent,Change3D_F1_percent,Change3D_IoU_percent,Change3D_OA_percent,Change3D_Kappa_percent,Change3D_Precision_percent,Change3D_Recall_percent,Change3D_Error_pixels,Change3D_FP,Change3D_FN,Change3D_Pred_change_ratio_percent,BIT_F1_percent,BIT_IoU_percent,BIT_OA_percent,BIT_Kappa_percent,BIT_Precision_percent,BIT_Recall_percent,BIT_Error_pixels,BIT_FP,BIT_FN,BIT_Pred_change_ratio_percent,ELGC-Net_F1_percent,ELGC-Net_IoU_percent,ELGC-Net_OA_percent,ELGC-Net_Kappa_percent,ELGC-Net_Precision_percent,ELGC-Net_Recall_percent,ELGC-Net_Error_pixels,ELGC-Net_FP,ELGC-Net_FN,ELGC-Net_Pred_change_ratio_percent,BiFA_F1_percent,BiFA_IoU_percent,BiFA_OA_percent,BiFA_Kappa_percent,BiFA_Precision_percent,BiFA_Recall_percent,BiFA_Error_pixels,BiFA_FP,BiFA_FN,BiFA_Pred_change_ratio_percent,MaskCD_F1_percent,MaskCD_IoU_percent,MaskCD_OA_percent,MaskCD_Kappa_percent,MaskCD_Precision_percent,MaskCD_Recall_percent,MaskCD_Error_pixels,MaskCD_FP,MaskCD_FN,MaskCD_Pred_change_ratio_percent,ChangeRD_F1_percent,ChangeRD_IoU_percent,ChangeRD_OA_percent,ChangeRD_Kappa_percent,ChangeRD_Precision_percent,ChangeRD_Recall_percent,ChangeRD_Error_pixels,ChangeRD_FP,ChangeRD_FN,ChangeRD_Pred_change_ratio_percent,CAIFNet_F1_percent,CAIFNet_IoU_percent,CAIFNet_OA_percent,CAIFNet_Kappa_percent,CAIFNet_Precision_percent,CAIFNet_Recall_percent,CAIFNet_Error_pixels,CAIFNet_FP,CAIFNet_FN,CAIFNet_Pred_change_ratio_percent,WDMF-Net_F1_percent,WDMF-Net_IoU_percent,WDMF-Net_OA_percent,WDMF-Net_Kappa_percent,WDMF-Net_Precision_percent,WDMF-Net_Recall_percent,WDMF-Net_Error_pixels,WDMF-Net_FP,WDMF-Net_FN,WDMF-Net_Pred_change_ratio_percent,MambaFedCD_F1_percent,MambaFedCD_IoU_percent,MambaFedCD_OA_percent,MambaFedCD_Kappa_percent,MambaFedCD_Precision_percent,MambaFedCD_Recall_percent,MambaFedCD_Error_pixels,MambaFedCD_FP,MambaFedCD_FN,MambaFedCD_Pred_change_ratio_percent
whucd_00272.png,651,0.993347,15,AEGIS-CD,AEGIS-CD,95.27439,90.975255,95.226613,62,1,0.0,3.783368,67.998619,True,103.640793,primary_best_F1;clear_margin_ge_2pct;has_change_gt,95.27439,90.975255,99.905396,95.226613,94.553707,96.006144,62,36,26,1.008606,73.175355,57.698057,99.568176,72.969714,95.544554,59.293395,283,18,265,0.616455,38.366337,23.7366,99.240112,38.127491,98.726115,23.809524,498,2,496,0.239563,0.0,0.0,99.006653,0.0,0.0,0.0,651,0,651,0.0,0.0,0.0,99.006653,0.0,0.0,0.0,651,0,651,0.0,0.0,0.0,98.768616,-0.385526,0.0,0.0,807,156,651,0.238037,89.122807,80.379747,99.763489,89.004152,82.041344,97.542243,155,139,16,1.18103,55.32382,38.239757,99.378967,55.06906,96.923077,38.709677,407,8,399,0.396729,0.0,0.0,99.006653,0.0,0.0,0.0,651,0,651,0.0,12.391931,6.605223,99.072266,12.283957,100.0,6.605223,608,0,608,0.065613,91.491023,84.316547,99.833679,91.407064,93.015873,90.015361,109,44,65,0.961304,0.0,0.0,99.006653,0.0,0.0,0.0,651,0,651,0.0,0.0,0.0,99.006653,0.0,0.0,0.0,651,0,651,0.0,0.0,0.0,99.006653,0.0,0.0,0.0,651,0,651,0.0,21.989529,12.352941,99.090576,21.759625,74.336283,12.903226,596,29,567,0.172424
whucd_01216.png,65536,100.0,15,AEGIS-CD,AEGIS-CD,100.0,100.0,100.0,0,1,0.0,0.0,1.093058,True,100.0,primary_best_F1;has_change_gt;low_false_alarm_tendency,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,100.0,96.507671,93.251038,93.251038,0.0,100.0,93.251038,4423,0,4423,93.251038,99.719215,99.440002,99.440002,0.0,100.0,99.440002,367,0,367,99.440002,89.735932,81.382751,81.382751,0.0,100.0,81.382751,12201,0,12201,81.382751,99.686213,99.37439,99.37439,0.0,100.0,99.37439,410,0,410,99.37439,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,100.0,99.496224,98.997498,98.997498,0.0,100.0,98.997498,657,0,657,98.997498,99.996185,99.992371,99.992371,0.0,100.0,99.992371,5,0,5,99.992371,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,100.0,99.581693,99.16687,99.16687,0.0,100.0,99.16687,546,0,546,99.16687,99.993133,99.986267,99.986267,0.0,100.0,99.986267,9,0,9,99.986267,99.980923,99.961853,99.961853,0.0,100.0,99.961853,25,0,25,99.961853
whucd_01472.png,20072,30.627441,15,AEGIS-CD,AEGIS-CD,99.26942,98.549438,98.945741,294,1,0.0,0.224494,1.613845,True,99.718409,primary_best_F1;has_change_gt,99.26942,98.549438,99.551392,98.945741,99.02826,99.511758,294,196,98,30.776978,98.851542,97.729164,99.291992,98.339826,98.224299,99.486847,464,361,103,31.021118,96.131324,92.550832,97.540283,94.331806,92.739396,99.780789,1612,1568,44,32.952881,98.644344,97.324952,99.162292,98.038283,97.791922,99.511758,549,451,98,31.166077,98.253297,96.566566,98.94104,97.493616,99.282808,97.244918,694,141,553,29.998779,98.000796,96.079961,98.773193,97.115883,97.825655,98.176564,804,438,366,30.737305,98.601486,97.241549,99.147034,97.987898,99.030102,98.176564,559,193,366,30.363464,97.572577,95.26021,98.48938,96.476478,96.065083,99.128139,990,815,175,31.604004,91.161798,83.759008,94.944763,87.646673,98.122093,85.123555,3313,327,2986,26.570129,98.184677,96.434086,98.872375,97.367092,96.840626,99.56656,739,652,87,31.489563,98.720056,97.472463,99.215698,98.154686,98.685652,98.754484,514,264,250,30.648804,98.344006,96.741966,98.989868,97.617319,98.759043,97.932443,662,247,415,30.371094,97.693471,95.490944,98.556519,96.643724,95.664215,99.810682,946,908,38,31.954956,99.044926,98.107922,99.412537,98.620745,98.636296,99.456955,385,276,109,30.882263,97.973754,96.027991,98.770142,97.091,98.883589,97.08051,806,220,586,30.06897
whucd_00711.png,6720,10.253906,15,AEGIS-CD,AEGIS-CD,98.815415,97.658566,98.681223,158,1,0.0,0.074785,1.436134,True,99.702289,primary_best_F1;has_change_gt;low_false_alarm_tendency,98.815415,97.658566,99.758911,98.681223,99.576911,98.065476,158,28,130,10.098267,97.879405,95.846881,99.571228,97.640962,99.295667,96.502976,281,46,235,9.965515,98.466121,96.978586,99.685669,98.291013,98.539493,98.392857,206,98,108,10.238647,98.74063,97.512585,99.743652,98.597942,99.486405,98.005952,168,34,134,10.101318,97.561717,95.239508,99.510193,97.2896,99.643134,95.565476,321,23,298,9.83429,98.546599,97.13484,99.703979,98.381815,99.230537,97.872024,194,51,143,10.113525,98.647041,97.330204,99.72229,98.492306,98.559121,98.735119,182,97,85,10.272217,88.897796,80.01443,97.463989,87.483154,80.654545,99.017857,1662,1596,66,12.588501,94.860735,90.223891,98.927307,94.262096,93.231786,96.547619,703,471,232,10.618591,98.435855,96.919887,99.682617,98.259268,99.498328,97.395833,208,33,175,10.037231,98.548763,97.139045,99.705505,98.384909,99.604803,97.514881,193,26,167,10.038757,97.914942,95.915057,99.577332,97.679807,99.07083,96.785714,277,61,216,10.017395,98.516678,97.076718,99.699402,98.349459,99.71041,97.35119,197,19,178,10.011292,98.427744,96.904162,99.681091,98.250317,99.528374,97.35119,209,31,178,10.029602,97.8659,95.820984,99.569702,97.626707,99.568833,96.220238,282,28,254,9.909058
whucd_06823.png,20411,31.144714,15,AEGIS-CD,AEGIS-CD,99.507486,99.019799,99.284798,201,1,0.0,0.051337,2.6801,True,99.610159,primary_best_F1;has_change_gt;low_false_alarm_tendency,99.507486,99.019799,99.693298,99.284798,99.534314,99.480672,201,95,106,31.12793,99.33995,98.688556,99.588013,99.040504,99.136375,99.544363,270,177,93,31.272888,98.647417,97.330935,99.162292,98.040702,99.216969,98.084366,549,158,391,30.789185,99.398033,98.803269,99.624634,99.125324,99.291127,99.505169,246,145,101,31.211853,98.670447,97.375784,99.169922,98.067053,98.444282,98.897653,544,319,225,31.288147,73.139975,57.654076,77.249146,55.687029,57.836406,99.456176,14910,14799,111,53.556824,99.456149,98.918181,99.661255,99.210171,99.461022,99.451276,222,110,112,31.141663,93.176904,87.225429,95.474243,89.8099,87.826879,99.221008,2966,2807,159,35.185242,99.440875,98.887968,99.6521,99.188367,99.548289,99.333693,228,92,136,31.077576,98.82434,97.676002,99.27063,98.295673,99.224576,98.427319,478,157,321,30.89447,99.320229,98.649637,99.577332,99.013553,99.498476,99.142619,277,102,175,31.033325,99.301111,98.611923,99.565125,98.985472,99.405931,99.196512,285,121,164,31.079102,99.407216,98.821418,99.629211,99.137459,98.994267,99.823625,243,207,36,31.40564,98.035624,96.146936,98.756409,97.126197,96.484486,99.63745,815,741,74,32.162476,99.425133,98.856837,99.641418,99.164581,99.286691,99.563961,235,146,89,31.231689
whucd_02060.png,941,1.435852,15,AEGIS-CD,AEGIS-CD,97.297297,94.736842,97.257819,51,1,0.0,0.533205,13.002985,True,99.185501,primary_best_F1;has_change_gt,97.297297,94.736842,99.92218,97.257819,97.040169,97.555792,51,28,23,1.443481,95.124481,90.702275,99.856567,95.051736,92.907801,97.449522,94,70,24,1.506042,83.455882,71.608833,99.450684,83.18177,73.522267,96.493092,360,327,33,1.88446,96.555379,93.340164,99.900818,96.505064,96.300211,96.811902,65,35,30,1.443481,95.321959,91.06204,99.8703,95.256283,98.858447,92.029756,85,10,75,1.33667,90.818859,83.181818,99.717712,90.676145,85.195531,97.236982,185,159,26,1.638794,95.316521,91.052114,99.861145,95.246119,92.41517,98.405951,91,76,15,1.528931,85.973764,75.39823,99.575806,85.758967,81.84438,90.541977,278,189,89,1.58844,0.0,0.0,98.564148,0.0,0.0,0.0,941,0,941,0.0,93.408278,87.631831,99.803162,93.308516,89.96063,97.130712,129,102,27,1.550293,94.387755,89.371981,99.832153,94.302695,90.77527,98.299681,110,94,16,1.554871,61.326958,44.224138,99.012756,60.834856,70.081967,54.516472,647,219,428,1.116943,95.854922,92.039801,99.87793,95.793014,93.528817,98.299681,80,64,16,1.509094,96.764092,93.731041,99.905396,96.716103,95.076923,98.512221,62,48,14,1.487732,95.811518,91.959799,99.87793,95.749594,94.427245,97.236982,80,54,26,1.478577
whucd_03849.png,15899,24.259949,15,AEGIS-CD,AEGIS-CD,98.513975,97.071469,98.041365,470,1,0.0,0.144686,1.431142,True,98.840349,primary_best_F1;has_change_gt;low_false_alarm_tendency,98.513975,97.071469,99.282837,98.041365,99.046348,97.987295,470,150,320,24.000549,98.311623,96.679311,99.185181,97.774657,98.842902,97.786024,534,182,352,24.000549,90.292336,82.30267,94.91272,86.871175,84.060721,97.521857,3334,2940,394,28.144836,98.369289,96.79091,99.215698,97.853029,99.244607,97.509277,514,118,396,23.835754,97.610724,95.332957,98.86322,96.865295,99.581207,95.716712,745,64,681,23.318481,97.266486,94.678438,98.675537,96.392528,97.401451,97.131895,868,412,456,24.19281,97.963673,96.008623,99.01123,97.310777,97.889845,98.037612,648,336,312,24.29657,97.068814,94.304571,98.577881,96.130017,97.07492,97.062708,932,465,467,24.256897,97.884815,95.857258,98.976135,97.209424,98.116785,97.65394,671,298,373,24.145508,98.079726,96.231812,99.075317,97.470813,98.831343,97.339455,606,183,423,23.893738,97.999307,96.077099,99.031067,97.360046,98.181818,97.817473,635,288,347,24.169922,97.686473,95.477573,98.883057,96.950316,98.176736,97.201082,732,287,445,24.01886,97.9032,95.892526,98.985291,97.233903,98.160091,97.647651,665,291,374,24.133301,98.168243,96.402386,99.116516,97.586145,98.758752,97.584754,579,195,384,23.971558,94.554952,89.672254,97.264099,92.730903,91.41515,97.918108,1793,1462,331,25.985718
whucd_04492.png,7947,12.12616,15,AEGIS-CD,AEGIS-CD,97.870464,95.829735,97.577062,338,1,0.0,0.107331,0.967769,True,98.728817,primary_best_F1;has_change_gt;low_false_alarm_tendency,97.870464,95.829735,99.484253,97.577062,98.006309,97.734994,338,158,180,12.09259,97.276654,94.697708,99.336243,96.898729,96.797907,97.760161,435,257,178,12.246704,97.667987,95.44226,99.433899,97.345835,97.575986,97.760161,371,193,178,12.149048,97.681764,95.468576,99.440002,97.363306,98.072045,97.294577,367,152,215,12.030029,97.763133,95.624148,99.461365,97.456969,98.468215,97.068076,353,120,233,11.953735,96.598379,93.420565,99.186707,96.136627,98.005698,95.230905,533,154,379,11.782837,97.67237,95.450633,99.435425,97.351123,97.660083,97.684661,370,186,184,12.129211,90.789627,83.132787,97.583008,89.407812,84.390877,98.238329,1584,1444,140,14.115906,96.223033,92.720991,99.067688,95.691428,94.568651,97.936328,611,447,164,12.557983,97.026115,94.224002,99.273682,96.612463,96.351905,97.709828,476,294,182,12.297058,97.667712,95.441735,99.432373,97.344581,97.326003,98.011828,372,214,158,12.211609,97.728553,95.558003,99.446106,97.413161,97.199403,98.263496,363,225,138,12.258911,97.559149,95.234613,99.403381,97.219329,96.803766,98.326412,391,258,133,12.316895,97.69342,95.490847,99.440002,97.374736,97.589151,97.797911,367,192,175,12.1521,97.289837,94.722697,99.34082,96.914619,97.009884,97.571411,432,239,193,12.19635
whucd_03122.png,2132,3.253174,15,AEGIS-CD,AEGIS-CD,96.384987,93.022222,96.261143,157,1,0.0,0.63493,28.967373,True,98.567506,primary_best_F1;has_change_gt,96.384987,93.022222,99.760437,96.261143,94.663048,98.170732,157,118,39,3.373718,94.350282,89.304813,99.633789,94.161047,94.706994,93.996248,240,112,128,3.22876,0.0,0.0,96.746826,0.0,0.0,0.0,2132,0,2132,0.0,95.266138,90.960208,99.681091,95.101325,92.115637,98.639775,209,180,29,3.483582,95.021794,90.515734,99.668884,94.850625,92.995061,97.138837,217,156,61,3.398132,1.026598,0.515947,96.763611,0.993533,100.0,0.515947,2121,0,2121,0.016785,94.894486,90.284974,99.656677,94.717046,91.912088,98.076923,225,184,41,3.471375,77.539703,63.318238,98.640442,76.842758,83.814714,72.138837,891,297,594,2.799988,89.446721,80.908248,99.371338,89.125579,98.532731,81.894934,412,26,386,2.703857,92.282884,85.671514,99.488831,92.018631,90.674513,93.949343,335,206,129,3.370667,90.726066,83.026264,99.339294,90.386182,83.48443,99.34334,433,419,14,3.871155,24.686315,14.081225,96.061707,22.787957,32.664093,19.840525,2581,872,1709,1.976013,92.855563,86.663914,99.507141,92.601184,87.86103,98.452158,323,290,33,3.645325,95.750057,91.846628,99.717712,95.604128,93.831607,97.748593,185,137,48,3.388977,0.0,0.0,96.746826,0.0,0.0,0.0,2132,0,2132,0.0
whucd_04744.png,26700,40.740967,15,AEGIS-CD,AEGIS-CD,98.442309,96.932402,97.375315,830,1,0.0,0.037554,0.590299,True,98.517416,primary_best_F1;has_change_gt;low_false_alarm_tendency,98.442309,96.932402,98.733521,97.375315,98.657087,98.228464,830,357,473,40.563965,97.468827,95.062627,97.930908,95.71918,97.156892,97.782772,1356,764,592,41.003418,98.078508,96.229466,98.434448,96.757636,98.085856,98.071161,1026,511,515,40.734863,98.214824,96.492267,98.553467,96.999004,98.765339,97.670412,948,326,622,40.289307,98.404756,96.859608,98.706055,97.316414,98.854789,97.958801,848,303,545,40.371704,97.676418,95.458365,98.103333,96.074148,97.503266,97.850187,1243,669,574,40.885925,97.924771,95.933922,98.298645,96.483232,97.328795,98.52809,1115,722,393,41.242981,96.52097,93.275874,97.119141,94.063838,95.001451,98.089888,1888,1378,510,42.06543,97.257183,94.660811,97.755432,95.357732,96.840073,97.677903,1471,851,620,41.093445,97.818798,95.730718,98.233032,96.333925,98.393331,97.250936,1158,424,734,40.267944,98.234597,96.530446,98.5672,97.028975,98.625845,97.846442,939,364,575,40.419006,97.580991,95.27625,98.020935,95.906517,97.187651,97.977528,1297,757,540,41.072083,98.311992,96.680025,98.622131,97.147993,98.137712,98.486891,903,499,404,40.885925,98.312593,96.681187,98.628235,97.157002,98.540091,98.086142,899,388,511,40.553284,98.122912,96.314994,98.474121,96.837544,98.355535,97.891386,1000,437,563,40.548706
whucd_05359.png,26477,40.400696,15,AEGIS-CD,AEGIS-CD,97.959107,95.999852,96.572926,1082,1,0.0,0.227663,1.540915,True,98.414432,primary_best_F1;has_change_gt,97.959107,95.999852,98.348999,96.572926,97.844681,98.0738,1082,572,510,40.4953,97.380412,94.894566,97.868347,95.583616,96.700432,98.070023,1397,886,511,40.9729,96.945988,94.072987,97.53418,94.878383,97.019329,96.872757,1616,788,828,40.339661,97.560607,95.237393,98.03009,95.908635,97.617787,97.503494,1291,630,661,40.353394,97.128995,94.418242,97.706604,95.220142,98.260802,96.022963,1503,450,1053,39.480591,94.209547,89.052976,95.204163,90.120887,91.964607,96.566832,3143,2234,909,42.422485,97.587416,95.288501,98.057556,95.961798,97.938223,97.239113,1273,542,731,40.112305,92.27425,85.656632,93.383789,86.521106,87.341046,97.798089,4336,3753,583,45.237732,93.13383,87.149964,94.482422,88.522289,93.649521,92.623787,3616,1663,1953,39.958191,97.449472,95.025811,97.941589,95.723992,97.565685,97.333535,1349,643,706,40.304565,97.731444,95.563531,98.170471,96.198578,97.918562,97.545039,1199,549,650,40.246582,97.123725,94.408284,97.692871,95.197882,97.842168,96.415757,1512,563,949,39.811707,97.438797,95.005513,97.926331,95.696747,97.242702,97.635684,1359,733,626,40.563965,97.456972,95.040076,97.941589,95.728048,97.286413,97.62813,1349,721,628,40.542603,96.433224,93.112124,97.117615,94.014871,96.42048,96.445972,1889,948,941,40.411377
whucd_04613.png,21170,32.302856,15,AEGIS-CD,AEGIS-CD,98.154493,96.37587,97.274523,781,1,0.0,0.08184,0.491475,True,98.318173,primary_best_F1;has_change_gt;low_false_alarm_tendency,98.154493,96.37587,98.808289,97.274523,98.203225,98.10581,781,380,401,32.270813,97.87324,95.835059,98.61908,96.850899,97.385774,98.365612,905,559,346,32.627869,97.991093,96.06131,98.706055,97.036795,98.289136,97.694851,848,360,488,32.107544,98.072653,96.218195,98.754883,97.153051,98.077286,98.068021,816,407,409,32.299805,97.748905,95.596928,98.556519,96.686645,98.489498,97.019367,946,315,631,31.820679,98.068822,96.21082,98.754883,97.150095,98.268829,97.869627,816,365,451,32.171631,98.051214,96.176932,98.736572,97.116525,97.710855,98.393954,828,488,340,32.528687,96.391466,93.034291,97.625732,94.623181,94.678815,98.167218,1556,1168,388,33.493042,96.428826,93.103922,97.703552,94.736519,96.881705,95.980161,1505,654,851,32.002258,97.704918,95.512821,98.526001,96.619362,98.288719,97.128011,966,358,608,31.921387,98.022746,96.122166,98.721313,97.077883,97.925702,98.119981,838,440,398,32.366943,97.445247,95.017777,98.353577,96.230674,97.688108,97.20359,1079,487,592,32.142639,97.86614,95.821445,98.614502,96.840421,97.380975,98.356164,908,560,348,32.626343,98.068008,96.209253,98.747253,97.141149,97.711606,98.427019,821,488,333,32.539368,97.548973,95.215223,98.419189,96.382364,97.715423,97.383089,1036,482,554,32.192993
whucd_04864.png,22007,33.580017,15,AEGIS-CD,AEGIS-CD,98.137977,96.344028,97.20101,817,1,0.0,0.079128,0.66235,True,98.296232,primary_best_F1;has_change_gt;low_false_alarm_tendency,98.137977,96.344028,98.753357,97.20101,98.445359,97.832508,817,340,477,33.370972,97.414539,94.9594,98.266602,96.110805,97.58333,97.246331,1136,530,606,33.46405,97.602154,95.316608,98.396301,96.397476,98.011364,97.196347,1051,434,617,33.300781,98.058849,96.191624,98.698425,97.079845,98.217542,97.900668,853,391,462,33.47168,96.987366,94.150943,98.013306,95.506112,98.807223,95.233335,1302,253,1049,32.365417,97.721037,95.543632,98.466492,96.565512,97.533044,97.909756,1005,545,460,33.709717,97.341194,94.820112,98.231506,96.016522,98.295033,96.405689,1159,368,791,32.93457,96.979211,94.135574,97.944641,95.422039,95.740347,98.250557,1347,962,385,34.460449,97.216546,94.583849,98.129272,95.807773,97.145969,97.287227,1226,629,597,33.628845,97.385531,94.904288,98.257446,96.07889,98.135929,96.646522,1142,404,738,33.070374,97.936432,95.956309,98.616028,96.89533,98.072542,97.8007,907,423,484,33.486938,97.130556,94.421193,98.088074,95.697136,97.908587,96.364793,1253,453,800,33.050537,97.214555,94.580078,98.136902,95.814954,97.613157,96.819194,1221,521,700,33.306885,97.87738,95.842997,98.577881,96.808141,98.114241,97.641659,932,413,519,33.418274,97.793417,95.682111,98.516846,96.676459,97.71356,97.873404,972,504,468,33.634949
whucd_04349.png,14893,22.724915,15,AEGIS-CD,AEGIS-CD,97.449099,95.025103,96.694873,763,1,0.0,0.340787,1.835573,True,98.244427,primary_best_F1;has_change_gt,97.449099,95.025103,98.835754,96.694873,97.043548,97.858054,763,444,319,22.915649,96.532079,93.296626,98.402405,95.494465,95.254282,97.844625,1047,726,321,23.342896,96.202023,92.681982,98.269653,95.081633,95.970598,96.434567,1134,603,531,22.834778,96.976453,94.130378,98.634338,96.094473,97.586348,96.374135,895,355,540,22.442627,96.697124,93.605451,98.510742,95.735835,97.475609,95.930974,976,370,606,22.364807,89.417778,80.860898,94.755554,85.963518,82.571364,97.502182,3437,3065,372,26.834106,96.245666,92.763032,98.265076,95.117943,94.685551,97.858054,1137,818,319,23.486328,92.407425,85.886433,96.336365,90.003848,87.33413,98.106493,2401,2119,282,25.527954,94.459825,89.501296,97.465515,92.816841,93.849417,95.078225,1661,928,733,23.022461,95.989659,92.288573,98.153687,94.790707,94.777145,97.2336,1210,798,412,23.313904,97.108312,94.379162,98.686218,96.258337,97.144201,97.07245,861,425,436,22.70813,96.067956,92.433433,98.191833,94.89414,94.961952,97.200027,1185,768,417,23.260498,97.001822,94.178192,98.61908,96.104982,95.736333,98.301215,905,652,253,23.33374,96.952426,94.085112,98.612976,96.054606,96.819338,97.085879,909,475,434,22.787476,96.530809,93.294254,98.41156,95.500852,95.825063,97.247029,1041,631,410,23.062134
whucd_04097.png,8028,12.249756,15,AEGIS-CD,AEGIS-CD,97.320379,94.780617,96.943589,433,1,0.0,0.122502,0.584212,True,98.202895,primary_best_F1;has_change_gt,97.320379,94.780617,99.339294,96.943589,96.703972,97.944694,433,268,165,12.406921,96.845484,93.883902,99.220276,96.400685,95.998042,97.708022,511,327,184,12.467957,96.47539,93.190778,99.130249,95.979335,95.78831,97.172397,570,343,227,12.426758,97.095591,94.355131,99.287415,96.68948,96.9569,97.234679,467,245,222,12.284851,96.508527,93.252637,99.14093,96.018746,96.09732,96.923269,563,316,247,12.355042,96.437202,93.119541,99.12262,95.936925,95.94378,96.935725,575,329,246,12.376404,97.197877,94.548511,99.307251,96.802684,96.329826,98.081714,454,300,154,12.472534,96.086798,92.468325,99.020386,95.527202,94.079733,98.181365,642,496,146,12.783813,96.772206,93.74627,99.200439,96.315974,95.722642,97.845042,524,351,173,12.521362,96.691954,93.595763,99.188232,96.229306,96.535883,96.84853,532,279,253,12.289429,96.8918,93.970994,99.232483,96.454017,96.137339,97.658196,503,315,188,12.443542,96.66728,93.549537,99.171448,96.194312,95.281307,98.09417,543,390,153,12.611389,96.844181,93.881453,99.21875,96.398429,95.851635,97.857499,512,340,172,12.506104,97.165742,94.487717,99.298096,96.765245,96.135089,98.218734,460,317,143,12.515259,96.626298,93.472803,99.16687,96.151086,95.868073,97.396612,546,337,209,12.445068
whucd_06395.png,14960,22.827148,15,AEGIS-CD,AEGIS-CD,97.960544,96.002613,97.354994,612,1,0.0,0.050314,1.491506,True,98.169815,primary_best_F1;has_change_gt,97.960544,96.002613,99.066162,97.354994,97.67411,98.248663,612,350,262,22.961426,96.931203,94.045148,98.599243,96.023712,96.950649,96.911765,918,456,462,22.817993,96.780935,93.762654,98.542786,95.839255,97.613381,95.962567,955,351,604,22.441101,97.91023,95.906014,99.040222,97.287319,97.331396,98.495989,629,404,225,23.100281,97.440733,95.009194,98.840332,96.691104,98.181325,96.71123,760,268,492,22.485352,97.053124,94.274958,98.654175,96.181083,97.020708,97.085561,882,446,436,22.842407,96.938844,94.059535,98.605347,96.035812,97.140556,96.737968,914,426,488,22.732544,94.670907,89.881062,97.494507,93.034959,92.007318,97.493316,1642,1267,375,24.188232,96.405849,93.061093,98.353577,95.338087,96.082597,96.731283,1079,590,489,22.981262,97.004701,94.18362,98.638916,96.124104,97.462888,96.550802,892,376,516,22.613525,97.789285,95.674201,98.983765,97.129566,97.125148,98.462567,666,436,230,23.141479,90.510434,82.665808,95.892334,87.899314,95.748807,85.815508,2692,570,2122,20.458984,96.731328,93.669576,98.506165,95.763182,96.631312,96.831551,979,505,474,22.874451,97.615643,95.342341,98.905945,96.905772,97.12792,98.108289,717,434,283,23.057556,96.783311,93.767114,98.54126,95.840119,97.439024,96.136364,956,378,578,22.521973
